Date,Type,Average Pace,Distance (mi),Duration,Average Pace,Average Speed (mph),Calories Burned,Climb (ft),Average Heart Rate (bpm),Notes,GPX File
2/18/2018,Running,9.97,3.52,35:00:00,9:58,6.02,322,243,,,2018-02-18-1501.gpx
2/8/2018,Running,9.62,3.01,28:55:00,9:37,6.24,262,18,,,2018-02-08-0643.gpx
2/3/2018,Running,10.93,4,43:45:00,10:56,5.49,373.1672527,0,,Global Village @ RIT,
1/27/2018,Running,10.28,3,30:50:00,10:17,5.84,268,238,,,2018-01-27-1644.gpx
1/23/2018,Running,10.83,2.77,30:00:00,10:50,5.54,257.784947,0,,Global Village @ RIT,
1/20/2018,Running,9.87,1.96,19:17,9:52,6.09,172,38,,,2018-01-20-1622.gpx
1/16/2018,Running,11.00,3,33:00:00,11:00,5.45,280.2754653,0,,Global Village gym @ RIT,
1/13/2018,Running,11.55,2.53,29:13:00,11:33,5.2,237.4696629,0,,,
1/11/2018,Running,12.20,1.67,20:20,12:12,4.92,144,145,,,2018-01-11-1054.gpx
1/9/2018,Running,11.77,1.89,22:10,11:46,5.1,170,145,,,2018-01-09-1103.gpx
10/15/2017,Running,10.05,3,30:07:00,10:03,5.97,266,88,,,2017-10-15-1002.gpx
10/7/2017,Running,10.70,3.71,39:44:00,10:42,5.61,327,106,,,2017-10-07-1055.gpx
10/3/2017,Running,10.58,2.87,30:22:00,10:35,5.67,259,142,,Wasnâ€™t in the mood to go uphill at Cobb Hill so I went around & omg beautiful homes along Highland Ave _Ÿ˜ç_Ÿ˜ç,2017-10-03-1007.gpx
10/1/2017,Running,9.75,1.17,11:26,9:45,6.16,104,43,,,2017-10-01-1052.gpx
9/12/2017,Running,10.32,3.01,31:04:00,10:19,5.81,265,154,,Cobbs Hill is freaking steep,2017-09-12-1045.gpx
9/8/2017,Running,10.07,2.77,27:53:00,10:04,5.96,244,46,,,2017-09-08-1012.gpx
9/4/2017,Running,10.25,2.23,22:48,10:15,5.85,195,55,,,2017-09-04-0937.gpx
9/2/2017,Running,10.02,3.02,30:12:00,10:01,5.99,267,68,,,2017-09-02-1645.gpx
7/8/2017,Running,9.72,2.74,26:39:00,9:43,6.17,241,56,,,2017-07-08-2019.gpx
6/26/2017,Running,10.80,4.11,44:26:00,10:48,5.55,364,137,,,2017-06-26-2027.gpx
6/20/2017,Running,10.68,3.85,41:07:00,10:41,5.61,335,72,,,2017-06-20-2038.gpx
6/18/2017,Running,10.32,2.31,23:48,10:19,5.81,208,111,,,2017-06-18-2013.gpx
5/27/2017,Running,10.20,2.23,22:46,10:12,5.88,196,49,,,2017-05-27-1641.gpx
4/29/2017,Running,21.57,7.5,2:41:44,21:34,2.78,467.9941393,0,,Savage Race with 27 obstacles,
4/23/2017,Running,9.78,4.2,41:08:00,9:47,6.13,381,227,,,2017-04-23-1818.gpx
4/21/2017,Running,10.70,2.35,25:07:00,10:42,5.61,205,84,,Too many fallen trees and puddles,2017-04-21-1940.gpx
4/18/2017,Running,10.23,3.15,32:10:00,10:14,5.87,274,89,,,2017-04-18-1859.gpx
4/17/2017,Running,11.53,1,11:32,11:32,5.2,94.06413987,0,,On treadmill & the stupid TV won't work -- BORING!,
4/2/2017,Running,8.90,3.1,27:36:00,8:54,6.74,279.4936381,0,,,
3/27/2017,Running,10.82,6,1:04:51,10:49,5.55,518,104,,,2017-03-27-1826.gpx
3/24/2017,Running,10.18,4.03,41:03:00,10:11,5.89,354,80,,,2017-03-24-1742.gpx
3/23/2017,Running,10.00,2,20:00,10:00,6,182.5855531,0,,,
3/18/2017,Running,10.10,2.16,21:50,10:06,5.94,197,133,,,2017-03-18-1712.gpx
3/11/2017,Running,11.50,13.1,2:30:40,11:30,5.22,1237.87935,0,,Stiff legs. Breathing good.,
3/5/2017,Running,10.03,8.01,1:20:17,10:02,5.98,719,584,,,2017-03-05-1640.gpx
3/2/2017,Running,8.67,4,34:40:00,8:40,6.93,360,236,,,2017-03-02-1635.gpx
2/22/2017,Running,10.40,4.01,41:41:00,10:24,5.77,364,269,,,2017-02-22-1716.gpx
2/19/2017,Running,10.43,9.04,1:34:14,10:26,5.75,824,586,,,2017-02-19-1543.gpx
2/12/2017,Running,9.23,3.24,29:56:00,9:14,6.5,299,239,,,2017-02-12-1746.gpx
2/5/2017,Running,10.38,7.02,1:12:51,10:23,5.78,649,541,,,2017-02-05-1220.gpx
2/3/2017,Running,9.75,3.06,29:49:00,9:45,6.15,279,200,,,2017-02-03-0838.gpx
1/25/2017,Running,10.33,4,41:18:00,10:20,5.81,364,241,,,2017-01-25-1712.gpx
1/20/2017,Running,10.72,2.8,30:00:00,10:43,5.6,259.8836543,0,,,
1/6/2017,Running,10.00,5,50:00:00,10:00,6,456.4638827,0,,,
1/4/2017,Running,10.83,6,1:05:00,10:50,5.54,558.4174599,0,,,
1/1/2017,Running,9.80,5.18,50:46:00,9:48,6.12,475,346,,,2017-01-01-1709.gpx
12/28/2016,Running,9.63,10.8,1:44:00,9:38,6.23,982.3105854,0,,,
12/24/2016,Running,9.52,5.02,47:41:00,9:31,6.31,461,335,,,2016-12-24-1651.gpx
12/21/2016,Running,9.75,5.02,48:58:00,9:45,6.15,456,325,,,2016-12-21-1551.gpx
12/18/2016,Running,10.18,8,1:21:24,10:11,5.9,733.3203336,0,,,
12/11/2016,Running,10.38,6.45,1:07:00,10:23,5.78,594.1650275,0,,,
12/10/2016,Running,9.45,4,37:49:00,9:27,6.35,363.1780411,0,,,
12/8/2016,Running,9.78,5,48:57:00,9:47,6.13,455.5053858,0,,,
12/7/2016,Running,10.17,4.11,41:49:00,10:10,5.9,376.7378193,0,,,
12/3/2016,Running,11.45,3,34:20:00,11:27,5.24,283.120093,0,,,
12/1/2016,Running,9.67,3,29:00:00,9:40,6.21,272.9654754,0,,,
11/24/2016,Running,8.32,3.16,26:15:00,8:19,7.22,298,329,,,2016-11-24-0901.gpx
11/22/2016,Running,10.05,3,30:08:00,10:03,5.97,274.1595157,0,,,
11/20/2016,Running,9.97,6,59:48:00,9:58,6.02,547.5740884,0,,,
11/17/2016,Running,9.35,3.11,29:03:00,9:21,6.41,278,201,,,2016-11-17-0818.gpx
11/15/2016,Running,9.55,3.01,28:44:00,9:33,6.28,268,195,,,2016-11-15-0833.gpx
11/5/2016,Running,9.97,3.69,36:45:00,9:58,6.02,335,237,,,2016-11-05-1101.gpx
10/25/2016,Running,9.67,2,19:22,9:40,6.2,187,253,,,2016-10-25-1712.gpx
10/14/2016,Running,9.22,2.78,25:36:00,9:13,6.5,256,219,,,2016-10-14-1725.gpx
10/2/2016,Running,10.55,3.02,31:51:00,10:33,5.69,279.2211121,0,,Misty,
9/18/2016,Running,10.32,3.86,39:48:00,10:19,5.81,350,304,,,2016-09-18-0948.gpx
8/23/2016,Running,8.80,2.81,24:45:00,8:48,6.81,252.7391973,0,,,
