Date,Type,Route Name,Distance (mi),Duration,Average Pace,Average Speed (mph),Calories Burned,Climb (ft),Average Heart Rate (bpm),Notes,GPX File,Latitude,Longitude
2/18/2018,Running,,3.52,35:00:00,9:58,6.02,322,243,,,2018-02-18-1501.gpx,43.227437000,-77.617654000
2/8/2018,Running,,3.01,28:55:00,9:37,6.24,262,18,,,2018-02-08-0643.gpx,33.979324000,-118.466259000
2/3/2018,Running,,4,43:45:00,10:56,5.49,373.1672527,0,,Global Village @ RIT,,,
1/27/2018,Running,,3,30:50:00,10:17,5.84,268,238,,,2018-01-27-1644.gpx,38.912055000,-76.968521000
1/23/2018,Running,,2.77,30:00:00,10:50,5.54,257.784947,0,,Global Village @ RIT,,,
1/20/2018,Running,,1.96,19:17,9:52,6.09,172,38,,,2018-01-20-1622.gpx,43.139800000,-77.569849000
1/16/2018,Running,,3,33:00:00,11:00,5.45,280.2754653,0,,Global Village gym @ RIT,,,
1/13/2018,Running,,2.53,29:13:00,11:33,5.2,237.4696629,0,,,,,
1/11/2018,Running,,1.67,20:20,12:12,4.92,144,145,,,2018-01-11-1054.gpx,38.912553000,-76.971481000
1/9/2018,Running,,1.89,22:10,11:46,5.1,170,145,,,2018-01-09-1103.gpx,38.913669000,-76.972173000
10/15/2017,Running,,3,30:07:00,10:03,5.97,266,88,,,2017-10-15-1002.gpx,43.146839000,-77.586128000
10/7/2017,Running,,3.71,39:44:00,10:42,5.61,327,106,,,2017-10-07-1055.gpx,43.146885000,-77.586420000
10/3/2017,Running,,2.87,30:22:00,10:35,5.67,259,142,,Wasn۪t in the mood to go uphill at Cobb Hill so I went around & omg beautiful homes along Highland Ave __,2017-10-03-1007.gpx,43.146626000,-77.585449000
10/1/2017,Running,,1.17,11:26,9:45,6.16,104,43,,,2017-10-01-1052.gpx,43.236679000,-77.557816000
9/12/2017,Running,,3.01,31:04:00,10:19,5.81,265,154,,Cobbs Hill is freaking steep,2017-09-12-1045.gpx,43.145470000,-77.581236000
9/8/2017,Running,,2.77,27:53:00,10:04,5.96,244,46,,,2017-09-08-1012.gpx,43.147933000,-77.586017000
9/4/2017,Running,,2.23,22:48,10:15,5.85,195,55,,,2017-09-04-0937.gpx,43.147907000,-77.586106000
9/2/2017,Running,,3.02,30:12:00,10:01,5.99,267,68,,,2017-09-02-1645.gpx,43.237009000,-77.559723000
7/8/2017,Running,,2.74,26:39:00,9:43,6.17,241,56,,,2017-07-08-2019.gpx,38.891725000,-77.054885000
6/26/2017,Running,,4.11,44:26:00,10:48,5.55,364,137,,,2017-06-26-2027.gpx,38.899759000,-76.984051000
6/20/2017,Running,,3.85,41:07:00,10:41,5.61,335,72,,,2017-06-20-2038.gpx,38.889771000,-77.048387000
6/18/2017,Running,,2.31,23:48,10:19,5.81,208,111,,,2017-06-18-2013.gpx,38.888592000,-77.008320000
5/27/2017,Running,,2.23,22:46,10:12,5.88,196,49,,,2017-05-27-1641.gpx,38.897714000,-77.056448000
4/29/2017,Running,,7.5,2:41:44,21:34,2.78,467.9941393,0,,Savage Race with 27 obstacles,,,
4/23/2017,Running,,4.2,41:08:00,9:47,6.13,381,227,,,2017-04-23-1818.gpx,39.023990000,-77.106340000
4/21/2017,Running,,2.35,25:07:00,10:42,5.61,205,84,,Too many fallen trees and puddles,2017-04-21-1940.gpx,39.025616000,-77.103214000
4/18/2017,Running,,3.15,32:10:00,10:14,5.87,274,89,,,2017-04-18-1859.gpx,39.022771000,-77.102779000
4/17/2017,Running,,1,11:32,11:32,5.2,94.06413987,0,,On treadmill & the stupid TV won't work -- BORING!,,,
4/2/2017,Running,,3.1,27:36:00,8:54,6.74,279.4936381,0,,,,,
3/27/2017,Running,,6,1:04:51,10:49,5.55,518,104,,,2017-03-27-1826.gpx,39.016443000,-77.094505000
3/24/2017,Running,,4.03,41:03:00,10:11,5.89,354,80,,,2017-03-24-1742.gpx,39.024449000,-77.102925000
3/23/2017,Running,,2,20:00,10:00,6,182.5855531,0,,,,,
3/18/2017,Running,,2.16,21:50,10:06,5.94,197,133,,,2017-03-18-1712.gpx,39.000030000,-77.109068000
